address	data_type	value
0044a464	string	RICHED32.DLL
0044a474	string	RICHED20.DLL
0044a484	string	DiagInWindow
0044a494	string	DiagOutWindow
0044a4a4	string	%s\lf.chm::/Tracing_logic.htm
0044a4c4	string	%s\lf.chm::/Entering_diag.htm
0044a4e4	string	%s\lf.chm::/Modifying_fcn.htm#ModifyDiag
0044a510	string	%s\lf.chm::/Creating_lookup.htm
0044a530	string	%s\lf.chm::/Mapping_fcn.htm
0044a54c	string	%s\lf.chm::/Entering_TT.htm
0044a568	string	%s\lf.chm::/Modifying_fcn.htm
0044a588	string	ABOUTDLG
0044a594	string	Error: %d
0044a5a0	string	Times
0044a5a8	string	Average: %d  Min: %d  Max: %d\n
0044a5cc	string	%d%%: %d
0044a5d8	string	\nPercent True: %d\n
0044a5ec	string	Type: FAST\n
0044a5f8	string	Type: EXACT\n
0044a608	string	Inputs: %d  Outputs: %d  Reps: %d  
0044a62c	string	MINIMIZE TIME TEST\n
0044a640	string	Could not open file.
0044a65c	string	%s\log.dat
0044a668	string	MINTIME
0044a670	string	testmin(%d,%d)\n
0044a680	string	MINTEST
0044a688	string	ABCDEFGHIJKLMNOPQRSTUVWXYZ
0044a6a4	string	Equation Check
0044a6b4	string	Error at eqn %X.
0044a6c8	string	Z$<>bg~%d
0044a6d4	string	%cXRTYMui
0044a6e0	string	ABCDEFGHIJKLMNOP
0044a6f4	string	EQNTEST
0044a70c	string	Count = %d
0044a718	string	Working...
0044a724	string	testmin4\n
0044a730	string	Not equal at term %d.
0044a754	string	Checking...
0044a760	string	misii -x -c "read_eqn %s\checkin.dat";"write_pla";
0044a794	string	OUTORDER = 
0044a7a8	string	INORDER = 
0044a7b4	string	Parsing...
0044a7c0	string	misii -x -c "re %s\minin.dat";"wp";
0044a7e4	string	debug tools off
0044a7f4	string	T&ools
0044a7fc	string	debug tools on
0044a80c	string	misii -x -c "rp -s %s\minin.dat";pf\n
0044a834	string	TRACEDLG16
0044a840	string	Mapping...
0044a850	string	misii\misii -x -c "rp %s\minin.dat";"source script.txt";"read_library -n %s\user.genlib";%s;reset_name;print_stats;"print_gate -p";"print_level -l";print_level\n
0044a8f8	string	misii\misii -x -c "rp %s\minin.dat";"source script.txt";"read_library %s\user.genlib";%s;reset_name;print_stats;"print_gate -p";"print_level -l";print_level\n
0044a99c	string	"map -m1 -f3"
0044a9ac	string	MAPDIALOG
0044a9b8	string	MAPTIME
0044a9c0	string	No gates are required to implement the function.
0044a9f4	string	All True
0044aa00	string	All False
0044aa0c	string	Minimizing...
0044aa1c	string	espresso\espresso -Dexact %s\minin.dat
0044aa44	string	espresso\espresso -Dso -S1 %s\minin.dat
0044aa6c	string	espresso\espresso -Dso %s\minin.dat
0044aa90	string	MINDLG
0044aa98	string	MINTIMEDLG
0044aaa4	string	Equation verification failure.
0044aac4	string	Verify
0044aacc	string	EQNMODVAR
0044aadc	string	%s\minout.dat
0044aaec	string	Click Submit or press <Enter> when done.
0044ab18	string	GATEPICKDLG2
0044ab2f	string	BRANDOMTT
0044ab40	string	Double-click an output cell to change state, or select a range and use the menu. Press <Enter> when done.
0044abac	string	TTSETUP
0044abb4	string	Press <Enter> when done.
0044abd0	string	ICPKGINFO
0044abdc	string	Setting equation...
0044abf0	string	espresso\espresso %s\minin.dat
0044ac10	string	lookup
0044ac18	string	LOOKUPFCNDLG
0044ac28	string	Please select two functions to compare.
0044ac50	string	Imported from file:
0044ac64	string	Import Truth Table
0044ac78	string	TTEXPORTWARN
0044ac8c	string	Multiple functions selected.
0044acac	string	Error
0044acb4	string	File Open
0044acc0	string	NEWFCNDLG
0044accc	string	%s\lf.chm::/features.htm
0044acf0	string	Function %s has been changed. Do you want to save it?
0044ad28	string	Function Selection
0044ad3c	string	gibber99
0044ad48	string	AttachConsole
0044ad58	string	kernel32.dll
0044ad68	string	Ready
0044ad70	string	This program requires Windows 98, ME, 2000, XP, or Vista
0044adac	string	Logic Friday
0044adbc	string	LogicFridayRunning
0044add4	string	#32770
0044addc	string	Variable Name
0044adec	string	Unidentified error.
0044ae00	string	File Error %d. The operation could not be completed because a Logic Friday\ndata file could not be opened. It may be in use by another application.
0044ae98	string	File error %d. Logic Friday could not create a necessary file and must close.
0044aee8	string	Equation Error
0044aef8	string	Length exceeds buffer size. You are limited to %dK characters
0044af38	string	Could not open the file. It was created with a later version of Logic Friday and is incompatible with this version.
0044afac	string	File Error
0044afb8	string	Could not open the file. It may be in use by another application. Error code: %d
0044b00c	string	An equation must be terminated with a semicolon.
0044b040	string	Internal diagram error.
0044b058	string	The diagram is too large to be drawn in this version of Windows.
0044b09c	string	Printing Error
0044b0ac	string	An error occurred during printing.
0044b0d0	string	Setup Error
0044b0dc	string	Page Setup failed.
0044b0f0	string	File does not appear to be the correct type.
0044b120	string	misII error %d.
0044b130	string	Gate translation error %d.
0044b14c	string	Gates verification failed: true term %d yields false
0044b184	string	Gates verification failed: false term %d yields true
0044b1bc	string	Could not attach console.
0044b1d8	string	You must assign an output variable with '='.
0044b208	string	File error %d.
0044b218	string	Espresso error %d.
0044b22c	string	Error creating minimize thread.
0044b24c	string	Unable to map the function.
0044b268	string	Could not open the log file.
0044b288	string	An output variable may not appear on the right hand side of an equation.
0044b2d4	string	Unrecognized command or function.
0044b2f8	string	Function name is undefined.
0044b314	string	Syntax error: missing '%c'
0044b330	string	Variable names are limited to %d characters.
0044b360	string	Variable names may have only letters, digits, periods, underscores, and brackets.\n The name must begin with a letter or underscore. Illegal char: '%c' (ASCII %d)
0044b404	string	Unmatched '%c' in input.
0044b420	string	Flag error clearing the input truthtable.
0044b44c	string	Display table verify failed at term %d.
0044b474	string	Error in dwTrueCnt.
0044b488	string	Could not create table windows.
0044b4a8	string	Verify failed: false term %d marked essential
0044b4d8	string	Verify failed: false term %d is covered
0044b500	string	Verify failed: true term %d not covered
0044b528	string	Could not create edit window.
0044b548	string	Could not create function window.
0044b56c	string	Repeated variable in a product term: '%c'
0044b598	string	No function is selected.
0044b5b8	string	There is not enough memory to complete the operation,To free up available memory, close programs, projects,or windows you aren't using, and then try again. Error code %d
0044b664	string	Syntax error in equation.
0044b680	string	 Limit Error
0044b690	string	Too many variables. This version of Logic Friday is limited to %d variables.
0044b6e0	string	Syntax Error
0044b6f0	string	Illegal character: '%c' (ASCII %d)
0044b714	string	%s\lf.chm::/Syntax.htm#VarOrder
0044b73c	string	Could not find a registered web browser.
0044b768	string	Could not find a registered email application.
0044b798	string	Logic Friday v. %d.%d.%d
0044b7b4	string	%s\espresso
0044b7c0	string	%s\espresso\espresso.exe
0044b7dc	string	%s\misii
0044b7e8	string	%s\misii\misii.exe
0044b7fc	string	%s\checkout.dat
0044b80c	string	ToolbarWindow32
0044b81c	string	MENU_DIAGIN
0044b828	string	MENU_LEIN
0044b834	string	MENU_TTIN
0044b840	string	MENU_DIAGOUT
0044b850	string	MENU_LEOUT
0044b85c	string	MENU_TTOUT
0044b868	string	Do you want to cancel diagram entry?
0044b890	string	Do you want to cancel equation entry?
0044b8b8	string	Do you want to cancel truth table entry?
0044b8e4	string	INORDER
0044b8ec	string	<none>
0044b8f4	string	Gates
0044b904	string	False
0044b914	string	Outputs
0044b91c	string	Inputs
0044b924	string	Function
0044b930	string	SysListView32
0044b940	string	Not mapped
0044b94c	string	Unminimized
0044b96c	string	%s-%s
0044b978	string	v. 1.0
0044b980	string	Logic Friday cannot continue because an essential file\ncould not be found. It may have been moved or deleted.\n\n%s\%s
0044b9f8	string	script.txt
0044ba04	string	%s\misii\lib
0044ba14	string	misii.exe
0044ba20	string	espresso.exe
0044ba38	string	%s\user.genlib
0044ba48	string	%s\checkin.dat
0044ba58	string	%s\minin.dat
0044ba68	string	logfriday_TEMP
0044ba78	string	%s\lf.ini
0044ba84	string	\Logic Friday
0044ba94	string	Logic function (*.lfcn)
0044bab8	string	C Source File (*.c)
0044bad4	string	Enhanced Metafile (*.emf)
0044baf4	string	Windows Bitmap (*.bmp)
0044bb18	string	All Files (*.*)
0044bb2c	string	Comma Separated Variables (*.csv)
0044bb54	string	Text Files (*.txt)
0044bb70	string	Comma Separated Variables (*.csv)
0044bbd0	string	The operation could not be completed.
0044bbf8	string	Conflict assigning an output value at line %d. A different value was assigned previously.
0044bc54	string	Variable name declaration not found where expected.
0044bc88	string	The truth table must have 2 to %d inputs and 1 to %d outputs.
0044bcc8	string	No truth table found, or format error.
0044bcf0	string	The name of an input or output is used more than once.
0044bd28	string	Invalid character in a variable name: '%c'
0044bd58	string	The count of variable names does not equal the count\nof variables, or the count of output names does not\nequal the count of outputs.
0044bde0	string	An input or output variable name could not be used because\nit is too long. Names must be no more than %d characters in length.
0044be60	string	Variable names were not found. Names for inputs and outputs\nmust be in the line immediately preceding the truth table.
0044bed8	string	Import Error
0044bee8	string	Invalid character in the truth table at line %d.\nAll truthtable cells must be '0', '1', or 'X'.
0044bf54	string	notepad 
0044bf64	string	 if( nOutAry[nX] & 1<<nBit )\n  return 1;\n else\n  return 0;\n}
0044bfa4	string	 nBit = %d - nTerm %% %d;\n
0044bfc0	string	 nX = nTerm / %d;\n
0044bfd4	string	 unsigned int nX, nBit;\n\n
0044bff0	string	 if( %s ) nTerm |= 1;\n
0044c008	string	 if( %s ) nTerm |= 1<<%d;\n
0044c024	string	 unsigned int nTerm=0, nX, nBit;\n\n
0044c04c	string	I64X};\n\n
0044c058	string	I64X, 
0044c060	string	X};\n\n
0044c068	string	%s%d%s
0044c078	string	 const unsigned int nOutAry[] =\n {
0044c09c	string	int %s )\n{\n
0044c0a8	string	int %s( unsigned int nTerm )\n{\n
0044c0c8	string	int %s );\n
0044c0d8	string	int %s, 
0044c0e4	string	int %s( 
0044c0f0	string	int %s( unsigned int nTerm );\n
0044c110	string	lu_%s
0044c118	string	 Generated by Logic Friday on %s*/\n\n
0044c140	string	/*\n %s\n
0044c14c	string	 if( iRow & 1<<%d ) %s = 1;\n
0044c16c	string	%s=0, 
0044c174	string	%s=0;\n\n
0044c17c	string	int TestLUFcnZ( int iRow, int iOut )\n{\n int 
0044c1ac	string	int TestLUFcnZ( int iRow, int iOut )\n{\n
0044c1dc	string	}\nreturn 0;\n}\n\n
0044c1ec	string	case 15:\n return lu_F15( %s );\n 
0044c210	string	case 14:\n return lu_F14( %s );\n 
0044c234	string	case 13:\n return lu_F13( %s );\n 
0044c258	string	case 12:\n return lu_F12( %s );\n 
0044c27c	string	case 11:\n return lu_F11( %s );\n 
0044c2a0	string	case 10:\n return lu_F10( %s );\n 
0044c2c4	string	case 9:\n return lu_F9( %s );\n 
0044c2e4	string	case 8:\n return lu_F8( %s );\n 
0044c304	string	case 7:\n return lu_F7( %s );\n 
0044c324	string	case 6:\n return lu_F6( %s );\n 
0044c344	string	case 5:\n return lu_F5( %s );\n 
0044c364	string	case 4:\n return lu_F4( %s );\n 
0044c384	string	case 3:\n return lu_F3( %s );\n 
0044c3a4	string	case 2:\n return lu_F2( %s );\n 
0044c3c4	string	case 1:\n return lu_F1( %s );\n 
0044c3e4	string	case 0:\n return lu_F0( %s );\n 
0044c404	string	 switch( iOut )\n {\n 
0044c434	string	Too many outputs. The limit is %d.
0044c45c	string	The equation must have at least 2 input variables.
0044c490	string	Too many input variables. The limit is %d.
0044c4bc	string	Illegal character in equation.
0044c4dc	string	bad character
0044c4ec	string	contains a cycle
0044c504	string	Parse error. Please check equation.
0044c534	string	\n.type fdr\n
0044c548	string	.o %d\n
0044c550	string	.i %d\n
0044c558	string	WarnTTExport
0044c568	string	WarnMinTime
0044c574	string	Flags
0044c57c	string	WarnMapTime
0044c588	string	szLUFcnSaveDir
0044c598	string	szSaveDir
0044c5a4	string	Folders
0044c5ac	string	szOpenDir
0044c5c0	string	Window
0044c5c8	string	Placement
0044c5d4	string	COMPRESDLG
0044c5e0	string	NAMESORDERDLG
0044c5f0	string	The two functions have different input variable names. Do you want to compare on the basis of the\ntruth table ordering of input variables?
0044c680	string	The two functions must have the same number of inputs and only one output.
0044c6cc	string	Compare Functions
0044c6e0	string	%s only:
0044c6ec	string	%s and %s:
0044c6f8	string	%s is not equal to %s.
0044c710	string	%s is the complement of %s.
0044c72c	string	%s is a subset of %s.
0044c744	string	%s equals %s.
0044c758	string	NEWFCNNAME
0044c768	string	The two functions have different input variable names. Do you want to carry out the operation on the basis of the\ntruth table ordering of input variables?
0044c804	string	Function Operation
0044c818	string	Verify Entry
0044c828	string	Are you sure you want to set the length of <unsigned int> to %d?
0044c870	string	The length of unsigned int may not be less than 8 bits or more than 64 bits.
0044c8c0	string	Invalid Entry
0044c8d0	string	Insufficient Length:\n\nThe number of bits in <unsigned int> cannot be less than the count\n of input variables in the logic function.
0044c954	string	Function Creation Failed
0044c9a8	string	Variable names may have only letters, digits, underscores, periods,\nand brackets. The name must begin with a letter or underscore.
0044ca2c	string	Variable name already in use.
0044ca4c	string	Variable names must have between 1 and %d characters.
0044ca8f	string	?iTestR = %d, iTestB = %d, factor = %f
0044cac6	string	I@PRINTDLG
0044cad4	string	Logic Friday: Printing
0044caec	string	Page %d
0044caf4	string	PRNCNCLDLG
0044cb00	string	COURIER NEW
0044cb0c	string	To Page %d
0044cb18	string	Page %d of %d
0044cb28	string	To Page 999
0044cb34	string	Minimized Product of Sums:
0044cb50	string	Unminimized Product of Sums:
0044cb70	string	Minimized:
0044cb7c	string	Entered by truthtable:
0044cb94	string	Entered:
0044cba4	string	Factored:\n
0044cbb0	string	%d %d %d\n
0044cbc4	string	Total number
0044cbfc	string	%d %d\n
0044cc04	string	Map to Gates
0044cc14	string	already mapped
0044cc24	string	nodes=
0044cc2c	string	does not fanout
0044cc3c	string	Bad equation format.
0044cc54	string	%s = 
0044cc5c	string	Unminimized:
0044cc6c	string	Minimized Product of Sums:\n
0044cc88	string	You must include either a NAND or a NOR gate type.
0044ccbc	string	Gate Selection
0044ccd0	string	GATE mux2 4 O=!(!1D1*!3SEL+!2D2*3SEL);\nPIN 1D1 NONINV 1 999 1 .2 1 .2\nPIN 2D2 NONINV 1 999 1 .2 1 .2\nPIN 3SEL UNKNOWN 1 999 1 .2 1 .2\n
0044cd58	string	GATE exor2 5.5 O=!(a*b+!a*!b); PIN * UNKNOWN 2 999 1.9 0.5 1.9 0.5\n
0044cda0	string	GATE mux2 4 O=1D1*!3SEL+2D2*3SEL;\nPIN 1D1 NONINV 1 999 1 .2 1 .2\nPIN 2D2 NONINV 1 999 1 .2 1 .2\nPIN 3SEL UNKNOWN 1 999 1 .2 1 .2\n
0044ce2c	string	GATE or4 4 O=a+b+c+d; PIN * INV 1 999 3.8 1.0 3.8 1.0\n
0044ce68	string	GATE or3 3 O=a+b+c; PIN * INV 1 999 2.4 0.7 2.4 0.7\n
0044cea4	string	GATE or2 2 O=a+b; PIN * INV 1 999 1.4 0.5 1.4 0.5\n
0044cedc	string	GATE and4 2 O=a*b*c*d; PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044cf1c	string	GATE and3 2 O=a*b*c; PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044cf5c	string	GATE and2 2 O=a*b; PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044cf98	string	GATE exor2 5.5 O=a*!b+!a*b; PIN * UNKNOWN 2 999 1.9 0.5 1.9 0.5\n
0044cfdc	string	exor2
0044cfe4	string	GATE nor4 4 O=!(a+b+c+d); PIN * INV 1 999 3.8 1.0 3.8 1.0\n
0044d028	string	GATE nor3 3 O=!(a+b+c); PIN * INV 1 999 2.4 0.7 2.4 0.7\n
0044d06c	string	GATE nor2 2 O=!(a+b); PIN * INV 1 999 1.4 0.5 1.4 0.5\n
0044d0ac	string	GATE nand4 4 O=!(a*b*c*d); PIN * INV 1 999 1.4 0.4 1.4 0.4\n
0044d0e8	string	nand4
0044d0f0	string	GATE nand3 3 O=!(a*b*c); PIN * INV 1 999 1.1 0.3 1.1 0.3\n
0044d12c	string	nand3
0044d134	string	GATE nand2 2 O=!(a*b); PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044d16c	string	nand2
0044d178	string	GATE zero0 0 O=CONST0;\nGATE one0 0 O=CONST1;\nGATE inv1 1 O=!a; PIN * INV 1 999 0.9 0.3 0.9 0.3\n
0044d1d8	string	TOTAL PACKAGES %d\r\n
0044d1ec	string	Quad 2-Input MUX %d\r\n
0044d204	string	Quad 2-Input EXOR %d\r\n
0044d21c	string	Dual 4-Input OR %d\r\n
0044d234	string	Triple 3-Input OR %d\r\n
0044d24c	string	Quad 2-Input OR %d\r\n
0044d264	string	Dual 4-Input AND %d\r\n
0044d27c	string	Triple 3-Input AND %d\r\n
0044d294	string	Quad 2-Input AND %d\r\n
0044d2ac	string	Dual 4-Input NOR %d\r\n
0044d2c4	string	Triple 3-Input NOR %d\r\n
0044d2dc	string	Quad 2-Input NOR %d\r\n
0044d2f4	string	Dual 4-Input NAND %d\r\n
0044d30c	string	Triple 3-Input NAND %d\r\n
0044d328	string	Quad 2-Input NAND %d\r\n
0044d340	string	Hex Inverter %d\r\n
0044d354	string	IC Qty\r\n
0044d360	string	Logic Friday Diagram
0044d375	string	Function %s
0044d398	string	Out of vert slots.\nbFirstPass: %d bAlloc: %d  Row1: %d  Row2: %d  Col: %d  SlotCntV: %d  iX: %d\ndwSlotMask[iX]:\n
0044d410	string	Out of horz slots.\nbFirstPass: %d\nbAlloc: %d  Col1: %d  Col2: %d  Row: %d  SlotCntH: %d  iX: %d\ndwSlotMask[iX]:\n
0044d484	string	%d, %d
0044d48c	string	GATELABELDLG
0044d49c	string	VARNAMEDLG
0044d4a8	string	WIRECURS
0044d4b4	string	ptap %d: {%d, %d}, nID=%d, iTap=%d, iNode=%d\n
0044d4e4	string	\niTapCnt = %d\n
0044d4f4	string	pnode %d: {%d, %d}, iOrient=%d, bSel=%d, nID=%d\n
0044d528	string	Wire: %d\n\niTypeA = %d\niGateA = %d\niGateInA = %d\niWireA = %d\n\niTypeB = %d\niGateB = %d\niGateInB = %d\niWireB = %d\n\niIsOutput = %d\nbBroken = %d\nbRed = %d\nbSelected = %d\n\niNodeCnt = %d\n
0044d5e0	string	Gate %d: iOutWire=%d, iInWire[0]=%d, iInWire[1]=%d
0044d618	string	Wire %d: iIsOutput=%d, iTypeA=%d, iTypeB=%d nodeA = %d, nodeB = %d, iNodeCnt = %d
0044d66c	string	Entered by gate diagram:
0044d688	string	Unknown error: %d, %d
0044d6a0	string	Gate %s: An input is a function of the gate's output. Feedback is not supported.
0044d6f4	string	Input terminal %s is not connected.
0044d718	string	The number of outputs is limited to %d.
0044d740	string	The function must have at least one output.
0044d76c	string	The number of inputs is limited to %d.
0044d794	string	The function must have at least two inputs.
0044d7c0	string	Gate %s: An input has no driving connection.
0044d7f0	string	Gate %s: Output is connected to another output.
0044d820	string	Gate %s: Missing input connection.
0044d844	string	Diagram Error
0044d854	string	Gate %s: Missing output connection.
0044d878	string	Illegal character: '%c'
0044d890	string	Error: Name must begin with a letter.
0044d8b8	string	Error: Name already in use.
0044d8d4	string	Error: Name must contain 1 to %d characters.
0044d904	string	Error: Name must begin with a letter or underscore.
0044d938	string	%s = %d
0044d960	string	U777D
0044d968	string	U666D
0044d970	string	U999B
0044d978	string	U222A
0044d980	string	Courier New
0044d98c	string	RichEdit
0044d998	string	RichEdit20A
0044d9a4	string	SPLITHORZ
